date,crop,market,production_tons,price_per_ton,farm_count
2023-11-30,banana,Delhi,168,6722.19,10
2023-12-31,banana,Delhi,197,6797.77,25
2021-01-31,banana,Kochi,163,4756.28,12
2021-02-28,banana,Kochi,196,5099.47,17
2021-03-31,banana,Kochi,168,5261.32,23
2021-04-30,banana,Kochi,160,5396.13,27
2021-05-31,banana,Kochi,147,5435.2,24
2021-06-30,banana,Kochi,118,5074.74,11
2021-07-31,banana,Kochi,103,4973.19,19
2021-08-31,banana,Kochi,134,4766.68,11
2021-09-30,banana,Kochi,163,4725.16,26
2021-10-31,banana,Kochi,148,4617.57,17
2021-11-30,banana,Kochi,116,4852.96,10
2021-12-31,banana,Kochi,143,5156.01,18
2022-01-31,banana,Kochi,191,5168.58,20
2022-02-28,banana,Kochi,129,5752.98,25
2022-03-31,banana,Kochi,192,5726.99,16
2022-04-30,banana,Kochi,145,5770.93,19
2022-05-31,banana,Kochi,105,5509.17,12
2022-06-30,banana,Kochi,198,5531.27,27
2022-07-31,banana,Kochi,136,5387.92,22
2022-08-31,banana,Kochi,123,5164.56,16
2022-09-30,banana,Kochi,192,5073.43,13
2022-10-31,banana,Kochi,145,5063.22,22
2022-11-30,banana,Kochi,152,5450.61,29
2022-12-31,banana,Kochi,194,5742.28,10
2023-01-31,banana,Kochi,198,5996.07,17
2023-02-28,banana,Kochi,159,6023.69,23
2023-03-31,banana,Kochi,196,6587.1,25
2023-04-30,banana,Kochi,162,6381.6,23
2023-05-31,banana,Kochi,184,6297.85,21
2023-06-30,banana,Kochi,131,5887.85,28
2023-07-31,banana,Kochi,186,5817.63,24
2023-08-31,banana,Kochi,132,5702.62,11
2023-09-30,banana,Kochi,166,5607.84,11
2023-10-31,banana,Kochi,117,5811.2,28
2023-11-30,banana,Kochi,124,6080.73,26
2023-12-31,banana,Kochi,194,6115.65,29
2021-01-31,banana,Ludhiana,122,5050.85,19
2021-02-28,banana,Ludhiana,109,5591.91,20
2021-03-31,banana,Ludhiana,168,5721.88,21
2021-04-30,banana,Ludhiana,199,5955.75,22
2021-05-31,banana,Ludhiana,133,5833.95,21
2021-06-30,banana,Ludhiana,151,5733.1,23
2021-07-31,banana,Ludhiana,194,5423.18,11
2021-08-31,banana,Ludhiana,109,5299.91,28
2021-09-30,banana,Ludhiana,118,5299.47,27
2021-10-31,banana,Ludhiana,157,5066.32,12
2021-11-30,banana,Ludhiana,195,5276.94,26
2021-12-31,banana,Ludhiana,100,5497.12,17
2022-01-31,banana,Ludhiana,168,6012.86,19
2022-02-28,banana,Ludhiana,103,6092.72,11
2022-03-31,banana,Ludhiana,115,6252.26,28
2022-04-30,banana,Ludhiana,123,6322.49,18
2022-05-31,banana,Ludhiana,179,6283.54,16
2022-06-30,banana,Ludhiana,101,6032.24,13
2022-07-31,banana,Ludhiana,191,5851.57,27
2022-08-31,banana,Ludhiana,131,5718.61,22
2022-09-30,banana,Ludhiana,190,5608.13,20
2022-10-31,banana,Ludhiana,183,5757.64,13
2022-11-30,banana,Ludhiana,123,5831.95,13
2022-12-31,banana,Ludhiana,111,6125.97,19
2023-01-31,banana,Ludhiana,149,6481.37,14
2023-02-28,banana,Ludhiana,134,6936.82,18
2023-03-31,banana,Ludhiana,132,6781.0,12
2023-04-30,banana,Ludhiana,132,7059.27,26
2023-05-31,banana,Ludhiana,160,6625.54,12
2023-06-30,banana,Ludhiana,150,6560.57,25
2023-07-31,banana,Ludhiana,142,6284.83,13
2023-08-31,banana,Ludhiana,111,6079.76,27
2023-09-30,banana,Ludhiana,166,6191.84,26
2023-10-31,banana,Ludhiana,164,6283.98,16
2023-11-30,banana,Ludhiana,132,6402.57,14
2023-12-31,banana,Ludhiana,139,6540.62,21
2021-01-31,banana,Mumbai,130,5905.29,24
2021-02-28,banana,Mumbai,118,6005.35,25
2021-03-31,banana,Mumbai,160,6235.22,20
2021-04-30,banana,Mumbai,153,6404.23,14
2021-05-31,banana,Mumbai,138,6339.93,13
2021-06-30,banana,Mumbai,190,6274.32,12
2021-07-31,banana,Mumbai,173,5910.0,28
2021-08-31,banana,Mumbai,189,5851.02,29
2021-09-30,banana,Mumbai,118,5609.17,27
2021-10-31,banana,Mumbai,138,5725.64,24
2021-11-30,banana,Mumbai,166,5760.55,18
2021-12-31,banana,Mumbai,144,5984.43,26
2022-01-31,banana,Mumbai,112,6544.8,23
2022-02-28,banana,Mumbai,191,6742.63,24
2022-03-31,banana,Mumbai,157,6646.32,10
2022-04-30,banana,Mumbai,119,6835.64,12
2022-05-31,banana,Mumbai,191,6917.6,25
2022-06-30,banana,Mumbai,171,6491.92,20
2022-07-31,banana,Mumbai,160,6465.48,21
2022-08-31,banana,Mumbai,138,6269.59,19
2022-09-30,banana,Mumbai,100,6049.76,25
2022-10-31,banana,Mumbai,102,6173.59,17
2022-11-30,banana,Mumbai,176,6154.89,15
2022-12-31,banana,Mumbai,191,6823.48,21
2023-01-31,banana,Mumbai,161,6923.35,17
2023-02-28,banana,Mumbai,162,7292.73,13
2023-03-31,banana,Mumbai,124,7421.14,17
2023-04-30,banana,Mumbai,155,7502.69,27
2023-05-31,banana,Mumbai,132,7200.56,14
2023-06-30,banana,Mumbai,137,7058.06,18
2023-07-31,banana,Mumbai,105,6874.68,13
2023-08-31,banana,Mumbai,157,6748.54,26
2023-09-30,banana,Mumbai,143,6737.37,18
2023-10-31,banana,Mumbai,144,6676.25,10
2023-11-30,banana,Mumbai,131,6884.27,29
2023-12-31,banana,Mumbai,144,7386.01,22
2021-01-31,banana,Bangalore,165,4910.16,15
2021-02-28,banana,Bangalore,174,5348.5,11
2021-03-31,banana,Bangalore,150,5393.99,22
2021-04-30,banana,Bangalore,137,5811.21,20
2021-05-31,banana,Bangalore,163,5706.66,20
2021-06-30,banana,Bangalore,197,5384.31,25
2021-07-31,banana,Bangalore,137,5041.01,20
2021-08-31,banana,Bangalore,149,5141.49,28
2021-09-30,banana,Bangalore,197,4871.64,24
2021-10-31,banana,Bangalore,181,5014.02,25
2021-11-30,banana,Bangalore,129,4878.21,20
2021-12-31,banana,Bangalore,178,5235.8,25
2022-01-31,banana,Bangalore,190,5604.09,17
2022-02-28,banana,Bangalore,150,5890.81,13
2022-03-31,banana,Bangalore,162,6030.52,17
2022-04-30,banana,Bangalore,197,6192.61,13
2022-05-31,banana,Bangalore,151,5940.35,12
2022-06-30,banana,Bangalore,137,5847.35,12
2022-07-31,banana,Bangalore,196,5650.44,27
2022-08-31,banana,Bangalore,187,5504.33,28
2022-09-30,banana,Bangalore,178,5440.84,28
2022-10-31,banana,Bangalore,129,5312.01,14
2022-11-30,banana,Bangalore,150,5460.48,27
2022-12-31,banana,Bangalore,180,6024.2,19
2023-01-31,banana,Bangalore,104,6237.49,15
2023-02-28,banana,Bangalore,128,6387.5,10
2023-03-31,banana,Bangalore,103,6764.88,14
2023-04-30,banana,Bangalore,109,6628.47,18
2023-05-31,banana,Bangalore,155,6611.82,21
2023-06-30,banana,Bangalore,116,6294.43,23
2023-07-31,banana,Bangalore,173,6274.85,11
2023-08-31,banana,Bangalore,116,6086.82,26
2023-09-30,banana,Bangalore,183,5847.04,23
2023-10-31,banana,Bangalore,187,6071.15,22
2023-11-30,banana,Bangalore,168,6265.23,18
2023-12-31,banana,Bangalore,133,6636.86,24
2021-01-31,cardamom,Chennai,140,19930.03,20
2021-02-28,cardamom,Chennai,105,20320.7,13
2021-03-31,cardamom,Chennai,151,20514.78,24
2021-04-30,cardamom,Chennai,125,20605.97,15
2021-05-31,cardamom,Chennai,163,20650.13,26
2021-06-30,cardamom,Chennai,197,20506.98,15
2021-07-31,cardamom,Chennai,158,20159.27,28
2021-08-31,cardamom,Chennai,155,19948.53,11
2021-09-30,cardamom,Chennai,158,19855.59,24
2021-10-31,cardamom,Chennai,169,19660.05,20
2021-11-30,cardamom,Chennai,132,19886.14,17
2021-12-31,cardamom,Chennai,152,20432.43,28
2022-01-31,cardamom,Chennai,121,20768.06,22
2022-02-28,cardamom,Chennai,120,20861.21,21
2022-03-31,cardamom,Chennai,169,21133.18,14
2022-04-30,cardamom,Chennai,169,21161.45,15
2022-05-31,cardamom,Chennai,103,21355.0,13
2022-06-30,cardamom,Chennai,193,20973.55,28
2022-07-31,cardamom,Chennai,174,20625.62,29
2022-08-31,cardamom,Chennai,161,20357.33,10
2022-09-30,cardamom,Chennai,161,20209.03,29
2022-10-31,cardamom,Chennai,193,20444.82,26
2022-11-30,cardamom,Chennai,194,20538.25,21
2022-12-31,cardamom,Chennai,123,20754.21,24
2023-01-31,cardamom,Chennai,154,21139.6,10
2023-02-28,cardamom,Chennai,108,21354.19,23
2023-03-31,cardamom,Chennai,102,21778.47,15
2023-04-30,cardamom,Chennai,130,21705.07,14
2023-05-31,cardamom,Chennai,139,21493.1,20
2023-06-30,cardamom,Chennai,135,21435.67,13
2023-07-31,cardamom,Chennai,123,21076.51,22
2023-08-31,cardamom,Chennai,194,20825.16,20
2023-09-30,cardamom,Chennai,105,21024.24,12
2023-10-31,cardamom,Chennai,165,21027.88,10
2023-11-30,cardamom,Chennai,183,21096.97,15
2023-12-31,cardamom,Chennai,191,21480.97,27
2021-01-31,cardamom,Delhi,165,22206.7,24
2021-02-28,cardamom,Delhi,177,22104.81,13
2021-03-31,cardamom,Delhi,152,22385.99,22
2021-04-30,cardamom,Delhi,150,22651.03,29
2021-05-31,cardamom,Delhi,138,22530.46,24
2021-06-30,cardamom,Delhi,150,22457.32,17
2021-07-31,cardamom,Delhi,169,22205.16,14
2021-08-31,cardamom,Delhi,105,21903.73,24
2021-09-30,cardamom,Delhi,166,22011.93,13
2021-10-31,cardamom,Delhi,106,21936.69,21
2021-11-30,cardamom,Delhi,150,21981.68,22
2021-12-31,cardamom,Delhi,171,22446.24,11
2022-01-31,cardamom,Delhi,141,22552.72,28
2022-02-28,cardamom,Delhi,163,22761.93,28
2022-03-31,cardamom,Delhi,114,23093.88,13
2022-04-30,cardamom,Delhi,128,23165.64,13
2022-05-31,cardamom,Delhi,132,23100.3,20
2022-06-30,cardamom,Delhi,193,22931.22,14
2022-07-31,cardamom,Delhi,126,22690.02,29
2022-08-31,cardamom,Delhi,135,22500.44,20
2022-09-30,cardamom,Delhi,128,22312.3,19
2022-10-31,cardamom,Delhi,137,22356.4,17
2022-11-30,cardamom,Delhi,156,22688.12,15
2022-12-31,cardamom,Delhi,196,22920.78,15
2023-01-31,cardamom,Delhi,126,23286.28,17
2023-02-28,cardamom,Delhi,154,23291.62,24
2023-03-31,cardamom,Delhi,132,23559.68,23
2023-04-30,cardamom,Delhi,167,23807.61,20
2023-05-31,cardamom,Delhi,185,23549.15,21
2023-06-30,cardamom,Delhi,165,23317.23,22
2023-07-31,cardamom,Delhi,109,23139.56,17
2023-08-31,cardamom,Delhi,104,23132.13,27
2023-09-30,cardamom,Delhi,173,23071.74,10
2023-10-31,cardamom,Delhi,196,22816.04,24
2023-11-30,cardamom,Delhi,137,23079.64,17
2023-12-31,cardamom,Delhi,112,23338.66,20
2021-01-31,cardamom,Kochi,127,19010.94,28
2021-02-28,cardamom,Kochi,184,19371.88,24
2021-03-31,cardamom,Kochi,148,19574.11,27
2021-04-30,cardamom,Kochi,170,19650.46,11
2021-05-31,cardamom,Kochi,180,19509.67,26
2021-06-30,cardamom,Kochi,183,19478.37,27
2021-07-31,cardamom,Kochi,148,19400.53,15
2021-08-31,cardamom,Kochi,119,19140.65,28
2021-09-30,cardamom,Kochi,185,19042.41,13
2021-10-31,cardamom,Kochi,191,18839.12,10
2021-11-30,cardamom,Kochi,162,18938.7,17
2021-12-31,cardamom,Kochi,160,19283.16,16
2022-01-31,cardamom,Kochi,148,19609.14,12
2022-02-28,cardamom,Kochi,170,19995.53,19
2022-03-31,cardamom,Kochi,100,19906.28,19
2022-04-30,cardamom,Kochi,195,20283.28,28
2022-05-31,cardamom,Kochi,112,20031.31,23
2022-06-30,cardamom,Kochi,193,19818.9,11
2022-07-31,cardamom,Kochi,186,19537.2,10
2022-08-31,cardamom,Kochi,150,19287.4,27
2022-09-30,cardamom,Kochi,155,19452.0,16
2022-10-31,cardamom,Kochi,182,19431.8,17
2022-11-30,cardamom,Kochi,161,19484.89,10
2022-12-31,cardamom,Kochi,131,19766.93,12
2023-01-31,cardamom,Kochi,129,20170.68,17
2023-02-28,cardamom,Kochi,128,20629.25,24
2023-03-31,cardamom,Kochi,148,20583.8,14
2023-04-30,cardamom,Kochi,144,20466.59,12
2023-05-31,cardamom,Kochi,192,20469.32,28
2023-06-30,cardamom,Kochi,129,20260.4,10
2023-07-31,cardamom,Kochi,115,19799.08,24
2023-08-31,cardamom,Kochi,139,19905.86,17
2023-09-30,cardamom,Kochi,118,19848.84,11
2023-10-31,cardamom,Kochi,117,20043.61,12
2023-11-30,cardamom,Kochi,100,20385.59,23
2023-12-31,cardamom,Kochi,177,20612.66,23
2021-01-31,cardamom,Ludhiana,103,20963.9,23
2021-02-28,cardamom,Ludhiana,125,21415.24,11
2021-03-31,cardamom,Ludhiana,157,21417.91,20
2021-04-30,cardamom,Ludhiana,128,21689.66,10
2021-05-31,cardamom,Ludhiana,197,21648.03,28
2021-06-30,cardamom,Ludhiana,186,21400.27,13
2021-07-31,cardamom,Ludhiana,136,21244.94,28
2021-08-31,cardamom,Ludhiana,174,20881.0,20
2021-09-30,cardamom,Ludhiana,169,20975.5,17
2021-10-31,cardamom,Ludhiana,117,20871.75,20
2021-11-30,cardamom,Ludhiana,184,20985.38,13
2021-12-31,cardamom,Ludhiana,141,21400.64,26
2022-01-31,cardamom,Ludhiana,199,21533.13,16
2022-02-28,cardamom,Ludhiana,140,21745.27,17
2022-03-31,cardamom,Ludhiana,137,21919.87,12
2022-04-30,cardamom,Ludhiana,133,22190.92,11
2022-05-31,cardamom,Ludhiana,116,21919.07,24
2022-06-30,cardamom,Ludhiana,136,22037.07,14
2022-07-31,cardamom,Ludhiana,124,21430.22,10
2022-08-31,cardamom,Ludhiana,175,21622.53,13
2022-09-30,cardamom,Ludhiana,186,21390.78,24
2022-10-31,cardamom,Ludhiana,185,21414.8,29
2022-11-30,cardamom,Ludhiana,184,21559.4,28
2022-12-31,cardamom,Ludhiana,126,21936.35,12
2023-01-31,cardamom,Ludhiana,156,22200.5,29
2023-02-28,cardamom,Ludhiana,130,22572.67,20
2023-03-31,cardamom,Ludhiana,105,22621.18,26
2023-04-30,cardamom,Ludhiana,190,22631.94,22
2023-05-31,cardamom,Ludhiana,139,22457.53,20
2023-06-30,cardamom,Ludhiana,197,22281.98,11
2023-07-31,cardamom,Ludhiana,111,22099.55,18
2023-08-31,cardamom,Ludhiana,152,21740.27,11
2023-09-30,cardamom,Ludhiana,170,21737.11,18
2023-10-31,cardamom,Ludhiana,109,22048.31,18
2023-11-30,cardamom,Ludhiana,144,22217.78,17
2023-12-31,cardamom,Ludhiana,116,22481.6,26
2021-01-31,cardamom,Mumbai,159,23165.5,26
2021-02-28,cardamom,Mumbai,144,23228.88,21
2021-03-31,cardamom,Mumbai,197,23431.54,25
2021-04-30,cardamom,Mumbai,102,23858.36,21
2021-05-31,cardamom,Mumbai,136,23687.29,24
2021-06-30,cardamom,Mumbai,142,23371.78,19
2021-07-31,cardamom,Mumbai,139,23234.07,16
2021-08-31,cardamom,Mumbai,189,23200.69,29
2021-09-30,cardamom,Mumbai,154,22952.26,14
2021-10-31,cardamom,Mumbai,186,23018.85,10
2021-11-30,cardamom,Mumbai,138,23118.14,26
2021-12-31,cardamom,Mumbai,114,23388.77,12
2022-01-31,cardamom,Mumbai,103,23607.54,22
2022-02-28,cardamom,Mumbai,192,23887.25,23
2022-03-31,cardamom,Mumbai,185,24102.23,27
2022-04-30,cardamom,Mumbai,124,24203.77,13
2022-05-31,cardamom,Mumbai,112,24018.78,27
2022-06-30,cardamom,Mumbai,181,23873.8,14
2022-07-31,cardamom,Mumbai,132,23607.38,25
2022-08-31,cardamom,Mumbai,115,23464.46,10
2022-09-30,cardamom,Mumbai,141,23244.58,23
2022-10-31,cardamom,Mumbai,165,23685.07,24
2022-11-30,cardamom,Mumbai,154,23540.59,18
2022-12-31,cardamom,Mumbai,198,23860.29,24
2023-01-31,cardamom,Mumbai,141,24122.33,26
2023-02-28,cardamom,Mumbai,133,24523.92,13
2023-03-31,cardamom,Mumbai,129,24590.16,21
2023-04-30,cardamom,Mumbai,112,24520.53,14
2023-05-31,cardamom,Mumbai,112,24559.58,14
2023-06-30,cardamom,Mumbai,117,24366.84,20
2023-07-31,cardamom,Mumbai,131,24062.08,15
2023-08-31,cardamom,Mumbai,195,23844.92,16
2023-09-30,cardamom,Mumbai,198,24091.04,23
2023-10-31,cardamom,Mumbai,138,24007.99,20
2023-11-30,cardamom,Mumbai,145,24073.29,22
2023-12-31,cardamom,Mumbai,128,24641.4,11
2021-01-31,cardamom,Bangalore,168,20116.71,15
2021-02-28,cardamom,Bangalore,176,20461.42,16
2021-03-31,cardamom,Bangalore,180,20369.02,14
2021-04-30,cardamom,Bangalore,139,20635.46,20
2021-05-31,cardamom,Bangalore,144,20536.96,22
2021-06-30,cardamom,Bangalore,195,20371.34,28
2021-07-31,cardamom,Bangalore,161,20267.86,19
2021-08-31,cardamom,Bangalore,192,19943.82,19
2021-09-30,cardamom,Bangalore,157,19833.5,20
2021-10-31,cardamom,Bangalore,166,19873.43,16
2021-11-30,cardamom,Bangalore,155,20000.32,27
2021-12-31,cardamom,Bangalore,139,20178.38,13
2022-01-31,cardamom,Bangalore,197,20683.15,11
2022-02-28,cardamom,Bangalore,139,20990.97,23
2022-03-31,cardamom,Bangalore,190,21109.89,22
2022-04-30,cardamom,Bangalore,176,21092.67,21
2022-05-31,cardamom,Bangalore,132,20976.59,16
2022-06-30,cardamom,Bangalore,105,20791.23,11
2022-07-31,cardamom,Bangalore,187,20874.15,22
2022-08-31,cardamom,Bangalore,118,20546.67,23
2022-09-30,cardamom,Bangalore,179,20285.67,26
2022-10-31,cardamom,Bangalore,139,20440.94,18
2022-11-30,cardamom,Bangalore,191,20577.63,26
2022-12-31,cardamom,Bangalore,196,20954.82,17
2023-01-31,cardamom,Bangalore,158,21258.61,11
2023-02-28,cardamom,Bangalore,158,21570.71,22
2023-03-31,cardamom,Bangalore,147,21524.7,12
2023-04-30,cardamom,Bangalore,140,21627.38,25
2023-05-31,cardamom,Bangalore,112,21319.04,15
2023-06-30,cardamom,Bangalore,144,21161.94,28
2023-07-31,cardamom,Bangalore,188,21157.18,16
2023-08-31,cardamom,Bangalore,152,20816.22,19
2023-09-30,cardamom,Bangalore,141,20787.84,18
2023-10-31,cardamom,Bangalore,199,20973.16,11
2023-11-30,cardamom,Bangalore,162,21270.17,24
2023-12-31,cardamom,Bangalore,126,21393.92,14
2021-01-31,coconut,Chennai,114,2955.36,25
2021-02-28,coconut,Chennai,179,3318.72,11
2021-03-31,coconut,Chennai,126,3633.38,17
2021-04-30,coconut,Chennai,171,3525.42,20
2021-05-31,coconut,Chennai,159,3602.01,22
2021-06-30,coconut,Chennai,145,3361.22,26
2021-07-31,coconut,Chennai,188,3331.83,17
2021-08-31,coconut,Chennai,116,2853.79,27
2021-09-30,coconut,Chennai,192,2827.2,27
2021-10-31,coconut,Chennai,152,2927.96,23
2021-11-30,coconut,Chennai,107,3194.21,24
2021-12-31,coconut,Chennai,178,3289.17,15
2022-01-31,coconut,Chennai,126,3548.04,20
2022-02-28,coconut,Chennai,145,4074.23,22
2022-03-31,coconut,Chennai,149,3930.73,10
2022-04-30,coconut,Chennai,170,3910.44,15
2022-05-31,coconut,Chennai,102,4091.11,18
2022-06-30,coconut,Chennai,192,3811.38,17
2022-07-31,coconut,Chennai,163,3536.29,20
2022-08-31,coconut,Chennai,143,3523.72,28
2022-09-30,coconut,Chennai,152,3394.06,18
2022-10-31,coconut,Chennai,123,3368.06,26
2022-11-30,coconut,Chennai,159,3485.86,21
2022-12-31,coconut,Chennai,102,3983.68,23
2023-01-31,coconut,Chennai,119,4269.28,24
2023-02-28,coconut,Chennai,145,4452.43,25
2023-03-31,coconut,Chennai,114,4794.42,29
2023-04-30,coconut,Chennai,124,4509.9,10
2023-05-31,coconut,Chennai,193,4341.34,19
2023-06-30,coconut,Chennai,177,4218.49,17
2023-07-31,coconut,Chennai,170,4064.21,27
2023-08-31,coconut,Chennai,116,3935.62,10
2023-09-30,coconut,Chennai,183,3847.81,11
2023-10-31,coconut,Chennai,199,4009.19,10
2023-11-30,coconut,Chennai,108,4075.54,10
2023-12-31,coconut,Chennai,137,4644.38,18
2021-01-31,coconut,Delhi,134,3273.08,19
2021-02-28,coconut,Delhi,160,3590.69,28
2021-03-31,coconut,Delhi,192,3808.11,28
2021-04-30,coconut,Delhi,153,3854.88,21
2021-05-31,coconut,Delhi,162,3908.26,12
2021-06-30,coconut,Delhi,178,3624.96,22
2021-07-31,coconut,Delhi,196,3611.21,27
2021-08-31,coconut,Delhi,106,3368.44,17
2021-09-30,coconut,Delhi,175,3133.75,24
2021-10-31,coconut,Delhi,148,3145.74,10
2021-11-30,coconut,Delhi,193,3365.21,12
2021-12-31,coconut,Delhi,184,3515.89,17
2022-01-31,coconut,Delhi,130,4084.76,13
2022-02-28,coconut,Delhi,157,4221.9,25
2022-03-31,coconut,Delhi,160,4414.85,19
2022-04-30,coconut,Delhi,123,4498.47,21
2022-05-31,coconut,Delhi,119,4289.17,23
2022-06-30,coconut,Delhi,136,4270.49,23
2022-07-31,coconut,Delhi,103,3949.86,11
2022-08-31,coconut,Delhi,191,3847.9,14
2022-09-30,coconut,Delhi,119,3649.88,14
2022-10-31,coconut,Delhi,159,3856.2,15
2022-11-30,coconut,Delhi,123,3954.02,22
2022-12-31,coconut,Delhi,149,4414.69,18
2023-01-31,coconut,Delhi,148,4467.31,24
2023-02-28,coconut,Delhi,150,4782.8,23
2023-03-31,coconut,Delhi,195,4806.6,16
2023-04-30,coconut,Delhi,135,4863.98,29
2023-05-31,coconut,Delhi,197,4855.76,11
2023-06-30,coconut,Delhi,199,4700.61,16
2023-07-31,coconut,Delhi,165,4665.27,15
2023-08-31,coconut,Delhi,178,4201.62,26
2023-09-30,coconut,Delhi,133,4078.61,11
2023-10-31,coconut,Delhi,135,4349.32,12
2023-11-30,coconut,Delhi,105,4387.91,14
2023-12-31,coconut,Delhi,138,4856.43,14
2021-01-31,coconut,Kochi,143,2960.77,10
2021-02-28,coconut,Kochi,137,3078.5,28
2021-03-31,coconut,Kochi,183,3220.42,25
2021-04-30,coconut,Kochi,122,3450.83,23
2021-05-31,coconut,Kochi,144,3229.2,25
2021-06-30,coconut,Kochi,151,3306.64,14
2021-07-31,coconut,Kochi,179,3036.4,18
2021-08-31,coconut,Kochi,149,2979.48,11
2021-09-30,coconut,Kochi,107,2797.99,27
2021-10-31,coconut,Kochi,184,2601.04,15
2021-11-30,coconut,Kochi,100,2803.82,18
2021-12-31,coconut,Kochi,107,3197.81,10
2022-01-31,coconut,Kochi,128,3538.27,18
2022-02-28,coconut,Kochi,195,3858.36,25
2022-03-31,coconut,Kochi,104,4046.98,22
2022-04-30,coconut,Kochi,185,3971.37,18
2022-05-31,coconut,Kochi,146,3933.38,22
2022-06-30,coconut,Kochi,133,3841.46,18
2022-07-31,coconut,Kochi,164,3458.08,20
2022-08-31,coconut,Kochi,154,3340.86,13
2022-09-30,coconut,Kochi,189,3186.99,11
2022-10-31,coconut,Kochi,142,3219.38,15
2022-11-30,coconut,Kochi,173,3468.73,23
2022-12-31,coconut,Kochi,129,3677.68,13
2023-01-31,coconut,Kochi,181,4041.17,15
2023-02-28,coconut,Kochi,116,4208.85,28
2023-03-31,coconut,Kochi,125,4440.76,15
2023-04-30,coconut,Kochi,107,4511.75,11
2023-05-31,coconut,Kochi,146,4285.02,27
2023-06-30,coconut,Kochi,175,4138.61,22
2023-07-31,coconut,Kochi,190,3932.71,18
2023-08-31,coconut,Kochi,171,3806.54,28
2023-09-30,coconut,Kochi,188,3708.57,22
2023-10-31,coconut,Kochi,145,3932.57,20
2023-11-30,coconut,Kochi,167,3840.6,10
2023-12-31,coconut,Kochi,132,4643.78,16
2021-01-31,coconut,Ludhiana,134,3022.2,22
2021-02-28,coconut,Ludhiana,107,3284.93,18
2021-03-31,coconut,Ludhiana,115,3587.5,18
2021-04-30,coconut,Ludhiana,135,3933.32,24
2021-05-31,coconut,Ludhiana,129,3583.44,19
2021-06-30,coconut,Ludhiana,117,3550.87,19
